-65,0
-65,5
-65,10
-62,15
-65,20
-65,25
-64,30
-63,35
-63,40
-64,45
-64,50
-65,55
-63,60
-64,65
-62,70
-62,75
-64,80
-64,85
-63,90
-64,95
-62,100
-62,105
-62,110
-62,115
-65,120
-64,125
-64,130
-64,135
-63,140
-64,145
-64,150
-64,155
-64,160
-63,165
-64,170
-64,175
-61,180
-61,185
-64,190
-63,195
-66,200
-66,205
-66,210
-66,215
-65,220
-65,225
-63,230
-65,235
-65,240
-66,245
-62,250
-63,255
-63,260
-64,265
-63,270
-68,275
-66,280
-66,285
-66,290
-66,295
-67,300
-66,305
-66,310
-66,315
-69,320
-66,325
-65,330
-65,335
-65,340
-66,345
-66,350
-66,355
-65,360
-65,365
-67,370
-66,375
-65,380
-65,385
-65,390
-66,395
-69,400
-70,405
-70,410
-66,415
-66,420
-67,425
-67,430
-67,435
-65,440
-66,445
-69,450
-68,455
-68,460
-68,465
-69,470
-69,475
-67,480
-67,485
-67,490
-67,495
-68,500
-69,505
-69,510
-68,515
-68,520
-67,525
-69,530
-69,535
-70,540
-69,545
-67,550
-66,555
-66,560
-66,565
-66,570
-70,575
-68,580
-68,585
-67,590
-72,595
-72,600
-69,605
-69,610
-69,615
-71,620
-70,625
-67,630
-67,635
-67,640
-70,645
-67,650
-67,655
-67,660
-66,665
-67,670
-66,675
-67,680
-67,685
-67,690
-67,695
-67,700
-66,705
-66,710
-66,715
-63,720
-66,725
-65,730
-64,735
-64,740
-67,745
-65,750
-63,755
-63,760
-66,765
-66,770
-67,775
-66,780
-66,785
-66,790
-66,795
-70,800
-68,805
-68,810
-68,815
-64,820
-64,825
-68,830
-68,835
-67,840
-66,845
-64,850
-65,855
-61,860
-61,865
-66,870
-66,875
-66,880
-66,885
-66,890
-67,895
-67,900
-65,905
-65,910
-65,915
