-56,0,,56
-60,5,,60
-57,10,,57
-57,15,,57
-58,20,,58
-58,25,,58
-58,30,,58
-55,35,,55
-55,40,,55
-54,45,,54
-55,50,,55
-56,55,,56
-56,60,,56
-61,65,,61
-58,70,,58
-57,75,,57
-56,80,,56
-57,85,,57
-57,90,,57
-52,95,,52
-54,100,,54
-53,105,,53
-52,110,,52
-61,115,,61
-55,120,,55
-55,125,,55
-60,130,,60
-61,135,,61
-57,140,,57
-57,145,,57
-57,150,,57
-60,155,,60
-60,160,,60
-61,165,,61
-61,170,,61
-60,175,,60
-59,180,,59
-59,185,,59
-59,190,,59
-60,195,,60
-59,200,,59
-59,205,,59
-61,210,,61
-59,215,,59
-58,220,,58
-63,225,,63
-58,230,,58
-56,235,,56
-55,240,,55
-55,245,,55
-57,250,,57
-56,255,,56
-58,260,,58
-58,265,,58
-55,270,,55
-54,275,,54
-55,280,,55
-55,285,,55
-55,290,,55
-56,295,,56
-56,300,,56
-57,305,,57
-58,310,,58
-57,315,,57
-54,320,,54
-54,325,,54
-57,330,,57
-56,335,,56
-52,340,,52
-60,345,,60
-54,350,,54
-55,355,,55
-56,360,,56
-57,365,,57
-55,370,,55
-58,375,,58
-56,380,,56
-56,385,,56
-58,390,,58
-60,395,,60
-57,400,,57
-58,405,,58
-58,410,,58
-55,415,,55
-56,420,,56
-59,425,,59
-58,430,,58
-58,435,,58
-57,440,,57
-56,445,,56
-61,450,,61
-59,455,,59
-58,460,,58
-59,465,,59
-58,470,,58
-57,475,,57
-57,480,,57
-58,485,,58
-57,490,,57
-61,495,,61
-58,500,,58
-59,505,,59
-59,510,,59
-60,515,,60
-58,520,,58
-58,525,,58
-60,530,,60
-59,535,,59
-60,540,,60
-60,545,,60
-61,550,,61
-57,555,,57
-57,560,,57
-60,565,,60
-61,570,,61
-54,575,,54
-56,580,,56
-56,585,,56
-55,590,,55
-55,595,,55
-55,600,,55
-54,605,,54
-55,610,,55
-53,615,,53
-54,620,,54
-55,625,,55
-54,630,,54
-55,635,,55
-54,640,,54
-54,645,,54
-54,650,,54
-55,655,,55
-55,660,,55
-54,665,,54
-55,670,,55
-56,675,,56
-56,680,,56
-55,685,,55
-60,690,,60
-60,695,,60
-57,700,,57
-56,705,,56
-61,710,,61
-56,715,,56
-56,720,,56
-54,725,,54
-57,730,,57
-56,735,,56
-57,740,,57
-59,745,,59
-56,750,,56
-57,755,,57
-59,760,,59
-59,765,,59
-56,770,,56
-54,775,,54
-55,780,,55
-55,785,,55
-56,790,,56
-55,795,,55
-54,800,,54
-57,805,,57
-55,810,,55
-58,815,,58
-58,820,,58
-56,825,,56
-57,830,,57
-57,835,,57
-56,840,,56
-56,845,,56
-55,850,,55
-56,855,,56
-57,860,,57
-56,865,,56
-57,870,,57
-56,875,,56
-58,880,,58
-56,885,,56
-57,890,,57
-57,895,,57
-57,900,,57
-54,905,,54
-54,910,,54
-54,915,,54
